name,frames,cuts,sfc,sf8
soul,174,0,174,3.63
sonicfan,181,0,181,3.57
ava_cadu,195,0,195,3.67
sneeze,208,0,208,1.73
wow,208,0,208,3.51
ai,1745,0,1745,3.56
jordan,125,1,64.34,2.66
face,126,4,31.89,2.21
night,179,3,45.94,1.23
chicken,196,1,101.33,1.53
dance,230,1,117.3,2.7
fad,308,10,30.46,2
meowth,431,3,108.28,2.11
kiwi,466,5,91.54,1.74
walk,500,12,41.85,1.66
eggdog,674,13,49.43,1.8
infinity,732,25,31.17,1.22
zelda,899,18,50.46,1.92
ncis,914,32,37.08,2
roll,1104,12,99.04,1.93
endgame,1440,33,46.1,1.32
gate,1739,9,252.8,2.02
ori,1798,29,78.99,1.98
smash,1802,3,758.28,2.81
obra,1972,11,206.11,2.31
sekiro,2013,31,81.84,1.84
pyre,2128,14,224.02,2.45
bastion,2128,15,215.62,2.26
trek,2256,80,32,1.64
transistor,2328,26,161.84,2
hatkid,2550,38,77.61,2.18
